timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
4474;42793;36685;2421;2547;53
4494;42793;37184;2916;2549;33
4514;41921;39212;986;2527;32
4534;41921;38414;2148;2546;20
4555;41921;36878;2529;2542;54
4575;41921;37521;2950;2571;34
4595;41921;37602;1974;2566;34
4615;41921;37514;2292;2565;19
4636;41395;37035;1403;2546;52
4656;41395;36213;2590;2559;38
4676;41395;39165;2584;2554;38
4696;41395;37432;3203;2566;22
4717;41395;37528;1773;2555;61
4737;41395;36758;2439;2541;32
4757;41866;38378;1522;2551;35
4777;41866;37723;1787;2561;23
4798;41866;37432;2346;2554;54
4818;41866;38810;3131;2568;37
4838;41866;38696;1078;2570;27
4858;41866;38226;2742;2565;27
4879;41866;36908;3554;2551;52
4899;42779;38514;4019;2568;47
4919;42779;37579;3205;2564;34
4939;42779;38159;2943;2562;43
4960;42779;36745;1598;2567;31
4980;42779;38541;2588;2571;51
5000;42779;37290;1656;2572;61
5020;43157;37991;2791;2572;41
5041;43157;37540;2558;2571;46
5061;43157;37535;3242;2558;32
5081;43157;35732;2669;2559;34
5101;43157;36581;2210;2548;56
5122;43157;38788;3868;2532;32
5142;43117;38117;3709;2552;40
5162;43117;37953;2571;2541;37
5182;43117;37147;2216;2561;29
5203;43117;38714;2181;2560;39
5223;43117;38202;3678;2558;58
5243;43117;38562;3594;2547;51
5263;43117;37584;2683;2544;32
5284;43043;37224;1540;2542;35
5304;43043;35560;3687;2556;30
5324;43043;36409;4047;2566;31
5344;43043;39310;1495;2537;40
5365;43043;36981;1821;2540;54
5385;43043;35600;2468;2563;44
5405;42716;37473;2659;2562;43
5425;42716;37849;2174;2564;39
5446;42716;36355;2894;2526;36
5466;42716;36732;3713;2561;40
5486;42716;37273;1590;2569;52
5506;42716;36276;2244;2559;53
5527;42148;35280;3191;2552;64
5547;42148;35102;3285;2557;39
5567;42148;33577;2332;2541;40
5587;42148;33811;1534;2539;53
5608;42148;34017;2095;2552;39
5628;42148;35045;2517;2532;39
5648;42148;32244;1747;2541;47
5668;41603;33595;3642;2537;48
5689;41603;35052;1802;2544;40
5709;41603;33568;2775;2523;32
5729;41603;34374;3928;2566;36
5749;41603;36386;3677;2557;31
5770;41603;33996;2474;2531;30
5790;40293;33617;1794;2528;60
5810;40293;35328;3037;2553;39
5830;40293;34300;2731;2547;43
5851;40293;33402;2370;2509;42
5871;40293;34491;2077;2543;39
5891;40293;36558;3600;2551;23
5911;37177;33336;3693;2549;34
5932;37177;32424;2787;2536;60
5952;37177;35282;3041;2571;34
5972;37177;37625;2190;2578;35
5992;37177;33169;1901;2568;32
6013;37177;33604;3638;2552;42
6033;33963;37370;2694;2553;36
6053;33963;36183;3138;2553;26
6073;33963;33255;2413;2560;37
6094;33963;33664;1492;2559;34
6114;33963;37058;2218;2556;44
6134;33963;36097;3075;2560;35
6154;33963;33655;3775;2568;36
6175;32543;33699;1920;2568;40
6195;32543;37135;2498;2562;32
6215;32543;35035;2427;2575;39
6235;32543;33574;3751;2569;36
6256;32543;34924;1844;2558;35
6276;32543;36860;2315;2511;32
6296;32299;34905;2317;2505;27
6316;32299;32883;2872;2544;35
6337;32299;33851;1702;2558;28
6357;32299;36388;2940;2511;33
6377;32299;35082;2564;2538;23
6397;32299;32853;3470;2552;26
6418;32304;33776;3795;2559;46
6438;32304;36075;2366;2488;23
6458;32304;36655;2133;2513;13
6478;32304;34337;3427;2531;51
6499;32304;34721;2019;2558;34
6519;32304;35093;3417;2537;18
6539;32304;34955;2210;2532;24
6559;32123;35217;3491;2511;32
6580;32123;34619;2854;2584;33
6600;32123;34397;3369;2534;26
6620;32123;33191;2861;2552;20
6640;32123;36096;3954;2578;33
6661;32123;36181;1976;2505;20
6681;31918;34364;2952;2507;32
6701;31918;33817;3744;2568;27
6721;31918;34251;1823;2589;23
6742;31918;36594;2435;2542;24
6762;31918;36619;2953;2576;16
6782;31918;35881;3355;2596;44
6802;32074;38488;2801;2600;28
